Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Cany-Barville,3059,0.549,49.783333,0.633333
Carville-la-Folletière,435,0.646,49.566667,0.816667
Carville-Pot-de-Fer,115,0.473,49.716667,0.716667
Le Catelier,242,0.543,49.75,1.15
Catenay,689,0.739,49.516667,1.333333
Rives-en-Seine,4149,0.631,49.533333,0.733333
Caudebec-lès-Elbeuf,10216,0.467,49.283333,1.033333
Le Caule-Sainte-Beuve,485,0.415,49.766667,1.583333
Cauville-sur-Mer,1472,0.487,49.6,0.133333
Les Cent-Acres,62,0.476,49.766667,1.15
La Cerlangue,1306,0.624,49.5,0.416667
La Chapelle-du-Bourgay,129,0.584,49.816667,1.15
La Chapelle-sur-Dun,175,0.359,49.866667,0.85
La Chaussée,572,0.635,49.833333,1.116667
Cideville,313,0.555,49.616667,0.9
Clais,257,0.386,49.8,1.45
Clasville,303,0.454,49.8,0.616667
Claville-Motteville,286,0.714,49.6,1.2
Cléon,5110,0.443,49.316667,1.033333
Clères,1354,0.251,49.6,1.116667
Cleuville,193,0.530,49.716667,0.633333
Cléville,161,0.372,49.616667,0.616667
Cliponville,274,0.477,49.683333,0.666667
Colleville,762,0.379,49.75,0.466667
Colmesnil-Manneville,108,0.722,49.85,1.033333
Compainville,175,0.534,49.666667,1.566667
Contremoulins,173,0.442,49.733333,0.433333
Cottévrard,453,0.685,49.633333,1.216667
Crasville-la-Mallet,163,0.469,49.8,0.716667
Crasville-la-Rocquefort,219,0.532,49.8,0.866667
Cressy,279,0.591,49.716667,1.166667
Criel-sur-Mer,2729,0.431,50.016667,1.316667
La Crique,358,0.378,49.683333,1.2
Criquebeuf-en-Caux,354,0.458,49.733333,0.333333
Criquetot-le-Mauconduit,178,0.355,49.8,0.566667
Criquetot-l'Esneval,2474,0.434,49.65,0.266667
Criquetot-sur-Longueville,212,0.741,49.783333,1.083333
Criquetot-sur-Ouville,795,0.627,49.683333,0.85
Criquiers,659,0.560,49.683333,1.7
Critot,493,0.495,49.616667,1.25
Croixdalle,263,0.483,49.816667,1.366667
Croix-Mare,787,0.518,49.6,0.85
Cropus,249,0.430,49.733333,1.15
Crosville-sur-Scie,242,0.496,49.816667,1.083333
Cuverville-sur-Yères,205,0.443,49.958333,1.4
Cuy-Saint-Fiacre,649,0.451,49.516667,1.7
Dampierre-Saint-Nicolas,523,0.442,49.866667,1.2
Dancourt,228,0.512,49.9,1.55
Darnétal,9490,0.559,49.45,1.15
Daubeuf-Serville,374,0.479,49.7,0.483333
Dénestanville,253,0.764,49.816667,1.083333
Déville-lès-Rouen,10410,0.471,49.466667,1.033333
Dieppe-1,18728,0.585,49.933333,1.083333
Dieppe-2,11358,0.234,49.933333,1.083333
Doudeville,2534,0.543,49.716667,0.8
Douvrend,517,0.568,49.866667,1.316667
Drosay,193,0.370,49.8,0.733333
Duclair,4174,0.455,49.483333,0.883333
Écalles-Alix,517,0.620,49.616667,0.833333
Écrainville,1036,0.633,49.65,0.333333
Écretteville-lès-Baons,386,0.423,49.633333,0.666667
Écretteville-sur-Mer,160,0.509,49.8,0.483333
Ectot-l'Auber,630,0.483,49.65,0.933333
Ectot-lès-Baons,395,0.391,49.65,0.8
Elbeuf-en-Bray,420,0.470,49.483333,1.65
Elbeuf-sur-Andelle,475,0.558,49.466667,1.4
Elbeuf,16680,0.552,49.283333,1
Életot,629,0.605,49.783333,0.45
Ellecourt,137,0.452,49.8,1.716667
Émanville,672,0.251,49.616667,0.966667
Envermeu,2113,0.612,49.9,1.266667
Envronville,333,0.521,49.666667,0.666667
Épinay-sur-Duclair,538,0.456,49.533333,0.85
Épouville,2767,0.538,49.566667,0.216667
Épretot,708,0.332,49.533333,0.316667
Épreville,1064,0.349,49.7,0.366667
Ermenouville,143,0.342,49.8,0.783333
Ernemont-sur-Buchy,282,0.506,49.533333,1.366667
Esclavelles,376,0.508,49.7,1.383333
Eslettes,1527,0.427,49.55,1.05
Esteville,527,0.529,49.6,1.233333
Estouteville-Écalles,519,0.387,49.583333,1.316667
Étaimpuis,757,0.503,49.65,1.133333
Étainhus,1088,0.434,49.566667,0.316667
Étalleville,452,0.553,49.733333,0.833333
Étalondes,1094,0.487,50.033333,1.383333
Étoutteville,790,0.394,49.666667,0.783333
Étretat,1398,0.331,49.7,0.2
Eu,7140,0.505,50.05,1.416667
Fallencourt,192,0.358,49.866667,1.566667
Fauville-en-Caux,2192,0.531,49.65,0.583333
Fécamp,19344,0.700,49.75,0.366667
Ferrières-en-Bray,1670,0.510,49.483333,1.75
La Ferté-Saint-Samson,470,0.468,49.583333,1.533333
Fesques,128,0.420,49.783333,1.483333
La Feuillie,1310,0.407,49.466667,1.516667
Flamanville,470,0.737,49.633333,0.833333
Flamets-Frétils,172,0.436,49.733333,1.6
Flocques,698,0.651,50.033333,1.366667
Fongueusemare,190,0.478,49.683333,0.3
Fontaine-en-Bray,175,0.331,49.683333,1.416667
Fontaine-la-Mallet,2653,0.496,49.533333,0.15
Fontaine-le-Bourg,1684,0.321,49.566667,1.166667
Fontaine-le-Dun,876,0.555,49.816667,0.85
Fontaine-sous-Préaux,511,0.427,49.483333,1.183333
La Fontelaye,35,0.536,49.683333,0.95
Forges-les-Eaux,3905,0.443,49.616667,1.55
Foucarmont,882,0.414,49.85,1.566667
Foucart,358,0.476,49.616667,0.6
Fréauville,131,0.671,49.833333,1.416667
La Frénaye,2107,0.594,49.525,0.575
Freneuse,896,0.492,49.316667,1.083333
Fresles,239,0.539,49.75,1.35
Fresnay-le-Long,320,0.680,49.65,1.1
Fresne-le-Plan,634,0.501,49.416667,1.3
Fresnoy-Folny,707,0.657,49.883333,1.433333
Freulleville,373,0.448,49.833333,1.233333
Saint Martin de l'If,1679,0.423,49.566667,0.833333
Frichemesnil,420,0.521,49.616667,1.133333
Froberville,1179,0.549,49.716667,0.333333
Fry,167,0.690,49.533333,1.533333
Fultot,195,0.659,49.75,0.8
La Gaillarde,392,0.517,49.833333,0.866667
Gaillefontaine,1241,0.573,49.65,1.616667
