Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Saint-Martin-l'Hortier,273,0.599,49.75,1.4
Saint-Maurice-d'Ételan,309,0.472,49.466667,0.616667
Saint-Nicolas-d'Aliermont,3634,0.542,49.883333,1.216667
Saint-Nicolas-de-la-Haie,406,0.595,49.55,0.616667
Saint-Nicolas-de-la-Taille,1448,0.457,49.516667,0.466667
Saint-Ouen-du-Breuil,774,0.422,49.633333,1.016667
Saint-Ouen-le-Mauger,292,0.429,49.766667,0.966667
Saint-Ouen-sous-Bailly,220,0.510,49.9,1.3
Saint-Paër,1353,0.547,49.516667,0.883333
Saint-Pierre-Bénouville,353,0.420,49.75,0.966667
Saint-Pierre-de-Manneville,843,0.555,49.4,0.933333
Saint-Pierre-des-Jonquières,86,0.448,49.85,1.45
Saint-Pierre-de-Varengeville,2294,0.503,49.5,0.933333
Saint-Pierre-en-Port,854,0.383,49.8,0.483333
Saint-Pierre-en-Val,1114,0.497,50.016667,1.45
Saint-Pierre-Lavis,254,0.384,49.666667,0.633333
Saint-Pierre-lès-Elbeuf,8304,0.441,49.266667,1.05
Saint-Pierre-le-Vieux,193,0.537,49.85,0.866667
Saint-Pierre-le-Viger,259,0.259,49.816667,0.85
Saint-Rémy-Boscrocourt,797,0.623,50.016667,1.4
Saint-Riquier-en-Rivière,162,0.431,49.883333,1.566667
Saint-Riquier-ès-Plains,590,0.439,49.816667,0.666667
Saint-Romain-de-Colbosc,4012,0.434,49.533333,0.366667
Saint-Saëns,2569,0.537,49.666667,1.283333
Saint-Saire,649,0.481,49.7,1.5
Saint-Sauveur-d'Émalleville,1188,0.509,49.6,0.3
Saint-Sylvain,182,0.474,49.85,0.666667
Saint-Vaast-d'Équiqueville,728,0.329,49.816667,1.266667
Saint-Vaast-Dieppedalle,352,0.581,49.75,0.716667
Saint-Vaast-du-Val,474,0.505,49.683333,1.016667
Saint-Valery-en-Caux,4230,0.496,49.866667,0.733333
Saint-Victor-l'Abbaye,769,0.347,49.666667,1.116667
Saint-Vigor-d'Ymonville,1090,0.586,49.5,0.366667
Saint-Vincent-Cramesnil,629,0.538,49.5,0.366667
Sandouville,796,0.477,49.5,0.316667
Sassetot-le-Malgardé,114,0.502,49.766667,0.9
Sasseville,271,0.658,49.783333,0.683333
Sauchay,409,0.450,49.933333,1.2
Saumont-la-Poterie,409,0.592,49.583333,1.616667
Sauqueville,384,0.457,49.85,1.066667
Saussay,379,0.520,49.633333,0.933333
Senneville-sur-Fécamp,833,0.351,49.766667,0.416667
Sept-Meules,175,0.515,49.95,1.416667
Serqueux,1012,0.465,49.633333,1.55
Servaville-Salmonville,1096,0.491,49.483333,1.266667
Sévis,397,0.600,49.7,1.166667
Sierville,1000,0.464,49.583333,1.033333
Sigy-en-Bray,754,0.342,49.55,1.5
Smermesnil,413,0.504,49.833333,1.483333
Sommery,834,0.524,49.633333,1.433333
Sommesnil,95,0.415,49.716667,0.666667
Sorquainville,184,0.471,49.7,0.55
Sotteville-lès-Rouen,28910,0.637,49.416667,1.1
Sotteville-sous-le-Val,794,0.519,49.316667,1.133333
Sotteville-sur-Mer,368,0.610,49.883333,0.833333
Tancarville,1325,0.550,49.483333,0.466667
Thérouldeville,669,0.456,49.766667,0.516667
Theuville-aux-Maillots,535,0.614,49.766667,0.55
Thiergeville,406,0.602,49.716667,0.516667
Thiétreville,387,0.502,49.716667,0.516667
Thil-Manneville,585,0.432,49.833333,0.983333
Le Thil-Riberpré,224,0.682,49.65,1.583333
Thiouville,299,0.524,49.7,0.616667
Le Tilleul,700,0.365,49.683333,0.2
Tocqueville-en-Caux,117,0.416,49.783333,0.9
Tocqueville-les-Murs,298,0.398,49.666667,0.5
Torcy-le-Grand,744,0.574,49.8,1.183333
Torcy-le-Petit,500,0.584,49.816667,1.183333
Le Torp-Mesnil,388,0.543,49.716667,0.9
Tôtes,1546,0.539,49.683333,1.05
Touffreville-la-Corbeline,805,0.359,49.583333,0.766667
Touffreville-sur-Eu,204,0.646,50,1.316667
Tourville-la-Rivière,2474,0.602,49.333333,1.1
Tourville-les-Ifs,535,0.490,49.716667,0.4
Tourville-sur-Arques,1246,0.553,49.85,1.1
Toussaint,753,0.595,49.733333,0.433333
Le Trait,5200,0.544,49.466667,0.816667
Trémauville,104,0.507,49.666667,0.516667
Le Tréport,5025,0.504,50.066667,1.366667
La Trinité-du-Mont,798,0.385,49.55,0.55
Les Trois-Pierres,732,0.530,49.55,0.416667
Turretot,1505,0.629,49.616667,0.233333
Val-de-la-Haye,694,0.457,49.383333,1
Valliquerville,1362,0.554,49.616667,0.683333
Valmont,876,0.372,49.733333,0.516667
Varengeville-sur-Mer,995,0.503,49.916667,0.983333
Varneville-Bretteville,311,0.560,49.65,1.05
Vatierville,124,0.491,49.783333,1.5
Vattetot-sous-Beaumont,590,0.399,49.633333,0.45
Vattetot-sur-Mer,336,0.520,49.733333,0.283333
La Vaupalière,943,0.781,49.483333,1.016667
Veauville-lès-Baons,752,0.394,49.65,0.766667
Vénestanville,186,0.564,49.8,0.9
Ventes-Saint-Rémy,226,0.532,49.7,1.3
Vergetot,436,0.496,49.616667,0.283333
Veules-les-Roses,576,0.465,49.866667,0.8
Veulettes-sur-Mer,290,0.589,49.85,0.6
Vibeuf,637,0.505,49.7,0.9
Vieux-Manoir,722,0.527,49.566667,1.3
Vieux-Rouen-sur-Bresle,611,0.406,49.833333,1.716667
La Vieux-Rue,567,0.547,49.5,1.25
Villainville,331,0.473,49.65,0.25
Villers-Écalles,1784,0.628,49.533333,0.916667
Villers-sous-Foucarmont,197,0.415,49.833333,1.566667
Villy-sur-Yères,197,0.448,49.933333,1.45
Vinnemerville,218,0.440,49.8,0.533333
Virville,362,0.731,49.583333,0.35
Vittefleur,626,0.492,49.816667,0.65
Wanchy-Capval,352,0.419,49.85,1.366667
Yainville,1070,0.456,49.45,0.833333
Yébleron,1358,0.375,49.633333,0.533333
Yerville,2451,0.379,49.666667,0.9
Ymare,1168,0.531,49.35,1.183333
Yport,845,0.462,49.733333,0.316667
Ypreville-Biville,577,0.167,49.7,0.533333
Yquebeuf,248,0.503,49.6,1.25
Yvecrique,661,0.506,49.683333,0.816667
Yvetot,11991,0.323,49.616667,0.766667
Yville-sur-Seine,475,0.648,49.4,0.883333
